STATION,ELEMENT,TIMEFUNC,DT,VALUE,FLAG,QUALITY,
0-20000-0-11519,RGLB_D,SUM,1984-01-01T00:00Z,4291.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-02T00:00Z,1465.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-03T00:00Z,2005.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-04T00:00Z,2704.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-05T00:00Z,3672.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-06T00:00Z,461.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-07T00:00Z,1670.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-08T00:00Z,3082.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-09T00:00Z,486.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-10T00:00Z,3053.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-11T00:00Z,4237.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-12T00:00Z,2560.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-13T00:00Z,3578.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-14T00:00Z,1066.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-15T00:00Z,4576.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-16T00:00Z,2963.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-17T00:00Z,1199.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-18T00:00Z,4864.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-19T00:00Z,5519.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-20T00:00Z,1984.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-21T00:00Z,2927.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-22T00:00Z,2700.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-23T00:00Z,3665.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-24T00:00Z,3078.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-25T00:00Z,3236.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-26T00:00Z,5753.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-27T00:00Z,3571.0,,0.0,
0-20000-0-11519,RGLB_D,SUM,1984-01-28T00:00Z,3614.0,,0.0,
